category,text
Neutral,"But he said he thought the Ledfords understood they could qualify only if he put down a stated income, typically an undocumented business income that raises the borrower's interest rate. [SEP]He also believed that a tax return was necessary."
Entailment,see too much crime on TV and they think it's way to go i don't know what do you think[SEP]TV has a lot of crime shown on it.
Entailment,um-hum yeah we're still pretty much you know in winter as far as that goes here[SEP]It's still pretty much winter here.
Entailment,oh really yeah i've i've never seen either one of them[SEP]I've never looked at either of them.
Entailment,At the fulcrum is a coffee bar and cafe under a giant screen television flanked by CD listening stations.[SEP]There is a huge television screen above the coffee bar and cafe.
Contradiction,"Finally, the FDA will conduct workshops, issue guidance manuals and videotapes, and hold teleconferences to aid small entities in complying with the rule.[SEP]The FDA will only issue videotapes."
Contradiction,"Instead, we could recommend that, compared with other settings, the prevalence of alcohol problems among ED patients makes it worthy of careful consideration.[SEP]ED and alcohol dependency issues are completely unrelated."
Contradiction,"The Ovitz deal, however, contained none of these goodies.[SEP]The Ovitz deal contained all of these goodies."
Contradiction,I never said you were a mandrake-man.[SEP]I have said you were a mandrake.
Entailment,"This was used for ceremonial purposes, allowing statues of the gods to be carried to the river for journeys to the west bank, or to the Luxor sanctuary.[SEP]Statues were moved to Luxor for funerals and other ceremonies."
Entailment,"We are assured of success?""[SEP]""Are we definitely going to be successful?"""
Entailment,These alone could have valuable uses.[SEP]These by themselves could prove valueable. 
Neutral,"All of a sudden I sat down on the edge of the table, and put my face in my hands, sobbing out a 'Mon Dieu! [SEP]I had stood my ground for days, but I broke down and started crying."
Neutral,"Was it a sudden decision on his part, or had he already made up his mind when he parted from me a few hours earlier? [SEP]He left in the spur of the moment whilst we were talking, which was quite rude. "
Neutral,"The rule prohibits the sale of nicotine-containing cigarettes and smokeless tobacco to individuals under the age of 18; requires manufacturers, distributors, and retailers to comply with various conditions regarding the sale and distribution of these products; requires retailers to verify a purchaser's age by photographic identification; prohibits all free samples; limits the distribution of these products through vending machines and self-service displays by permitting such methods of sale only in facilities where access by individuals under 18 is prohibited; limits the advertising and labeling to which children and adolescents are exposed; prohibits promotional, non-tobacco items such as hats and tee shirts; prohibits sponsorship of[SEP]The rule will be put into effect as of January 1, 2017,  in all 50 states. "
Neutral,"oh really i was um i was TDY at Bent Waters[SEP]I had work at Bent Waters, but only for a little while. "
Neutral,"The 2000 census showed Illinois with about 35,000 fewer people who are eligible for LSC services because of low income, about $22,000 a year for a family of four, Kleiman said.[SEP]Low income is the only disqualifying factor in LSC services eligibility."
Neutral,"Part of the reason for the difference in pieces per possible delivery may be due to the fact that five percent of possible residential deliveries are businesses, and it is thought, but not known, that a lesser percentage of possible deliveries on rural routes are businesses.[SEP]Reason for a lesser pecentage of possible deliveries on rural routes might become more clear in the future."
Contradiction,right and uh there's usually nobody running against you know the incumbents[SEP]There are numerous candidates running against the incumbents.  
Neutral,"Cruises are available from the Bhansi Ghat, which is near the CityPalace.[SEP]Bhansi Ghat is famour for the ability to take cruises."
Entailment,And she came to you?[SEP]The person asked if the woman came to the other person.
Entailment,Because the paper did not say that.[SEP]The paper did not explain that.
Contradiction,The Kal nodded.[SEP]The Kal then shook its head side to side.
Neutral,"and those are the people that you know can you rehabilitate them the some of the ones that are you know perpetual[SEP]If people repeatedly commit the same crimes, why bother letting them out?"
Neutral,"In that case, price discrimination can survive.[SEP]When dealing with big ticket items, prices can fluctuate."
Contradiction,"You wonder what youre going to be when you grow up, lawyer Smith said. [SEP]You have no dreams for the future."
Neutral,The idea that Clinton's approval represents something new and immoral in the country is historically shortsighted.[SEP]Clinton's approval is the result of the country liking the effect that the administration has had on the economy.
Neutral,"It sounds perfect, said Jon.[SEP]Jon was talking to someone that he agreed with on most things."
Contradiction,"Bettelheim committed suicide in 1990, evidently having found life unbearable, despite (or because of) his fictions.[SEP]Bettelheim killed himself in 2005."
Neutral,"This town, which flourished between 6500 and 5500 b.c. , had flat-roofed houses of mud and timber decorated with wall-paintings, some of which show patterns that still appear on Anatolian kilims.[SEP]The houses in this town are run down and made from mud."
Contradiction,"Today, nothing remains except the foundations.[SEP]The foundations were replaced."
Neutral,Such a knowledgebased process enables decision makers to be reasonably certain about critical facets of the product under development when they need this knowledge.[SEP]They refused to help with the process at all.
Contradiction,"This marvelous Victorian-Gothic building is famous for the fanciful stone carvings around the base of its pillars (one pillar, reputedly depicting the club members, shows monkeys playing billiards).[SEP]The Victorian-Gothic building is famous for their rude members."
Entailment,"And frankly, the number seems a tad low to me.[SEP]The number looks low in my opinion."
Contradiction,That's why we tried to kill you.[SEP]That's why we saved your life.
Entailment,This is arguably starting to distort the practice of science itself.[SEP]This began to distort scientific practice. 
Contradiction,This site includes a list of all award winners and a searchable database of Government Executive articles.[SEP]The Government Executive articles housed on the website are not able to be searched.
Neutral,"Mykonos has had a head start as far as diving is concerned because it was never banned here (after all, there are no ancient sites to protect).[SEP]Protection of ancient sites is the reason for diving bans in other places."
Contradiction,He had never felt better.[SEP]He felt very sick.
Entailment,"What's needed, alongside an evacuation plan, is a realistic program to stabilize conditions for those left behind.[SEP]Those left behind will need a program for stabilizing conditions if they cannot evacuate. "
Neutral,"Escaped or abandoned raccoons have been breeding in the wild for the past 20 years and have damaged corn crops, watermelon and melon farms, and rainbow trout hatcheries, the paper said.[SEP]Raccoons, if they are escaped or abandoned, tend to go to the seaside- this is what has been happening for the past 20 years."
Neutral,"The Chinese calendar was used to calculate the year of Japan's foundation by counting back the 1,260 years of the Chinese cosmological cycle.[SEP]The calculation of Japan's year of foundation was very exact."
Entailment,Workers are also represented in civil rights and retaliation claims.[SEP]Some workers are represented in civil rights and retaliation claims.
Entailment,The game of billiards is also hot.[SEP]People like billiards.
Entailment,"Only trouble was, they had infinite ammunition...we only had so many bullets.[SEP]They had a lot more bullets than we did."
Contradiction,"That first glimpse of the towering, steepled abbey rising from the sea on its rock is a moment you will not forget.[SEP]The abbey is not of great height and lacks a steeple."
Neutral,A 1997 Henry J. Kaiser Family Foundation survey found that Americans in managed care plans are basically content with their own care.[SEP]The henry kaiser foundation shows that people will always be content with how their healthcare is
Contradiction,no i i just painted[SEP]I didn't just paint. 
Neutral,"However unsatisfactory and over-argued the revisionist case, it did make one serious  that the United States had clear national and economic interests and found the Cold War an unusually congenial way to pursue them.[SEP]The revisionist case resulted in the United States changing its policy."
Neutral,"Britons, however, trumpet their poet laureate as worthy of the ranks of Blake, Keats, Hardy and Auden (the Times of London).[SEP]Britons are the proudest nation in the continent of europe."
Entailment,At the pictures the crooks always have a restoorant in the Underworld.[SEP]The crooks tend to have it in pictures about the Underworld.
Contradiction,The spear missed Vrenna by only a hand-span.[SEP]The spear smacked the man in the face. 
Entailment,"He appropriated for the State much of the personal fortunes of the princes, but found it harder to curtail the power of land-owners who had extensive contacts with the more conservative elements in his Congress Party.[SEP]He was able to take much of the princes' individual fortunes for the State, but it was more difficult to wrest power from land owners in contact with the conservative elements of the Congress Party."
Entailment,Each room was outfitted with a leather sofa and three fold-out beds for students exhausted after a full day of hard work.[SEP]Students received housing with sofas and beds to rest in.
Neutral,for a change i i got i get sick of winter just looking everything so dead i hate that[SEP]Winter is all year long.
Neutral,looking at that and you know and if it's if it's funny or if it keeps my interest if it's exciting i'll watch it if not i don't and times that i saw that or pieces of that it wasn't any it wasn't great Thirty Something i watched a few times because there was a few good episodes and then after that it it i just lost interest in it[SEP]Thirty Something was one of my favorite shows until I lost interest in it.
Contradiction,yeah they were my favorite team for a while[SEP]They were always the worst team ever.
Contradiction,and oh okay and then went to Colorado[SEP]I had to move back to Nebraska just to survive.
Contradiction,Time reports that Harrer denies having known she was.)[SEP]Harrer was will aware that she was.
Contradiction,so are can i just ask you are you Canadian[SEP]Are you from the U.S.?
Contradiction,We look forward to receiving comments from the readers of this paper.[SEP]They discourage people from making comments about the paper.
Neutral,"You claimed to be a repairman for such devices.""  Hanson bent to study it again, using a diamond lens one of the warlocks handed him.[SEP]Hanson's nose was almost touching it, as he examined it carefully."
Neutral,"The providers worked with the newly created Legal Assistance to the Disadvantaged Committee of the Minnesota State Bar Association (MSBA) to create the Minnesota Legal Services Coalition State Support Center and the position of Director of Volunteer Legal Services, now the Access to Justice Director at the Minnesota State Bar Association.[SEP]The Legal Assistance to the Disadvantaged Committee contains seventeen members."
Neutral,"His diet was of wheaten bread,[SEP]He ate nothing else apart from wheaten bread."
Contradiction,Programs that do this typically have successful cost and schedule outcomes.[SEP]None of the programs have successful costs.
Entailment,that's true i didn't think about that[SEP]You informed me of a new perspective.
Neutral,This was the saturation and 125-piece walk sequence Enhanced Carrier Route mail volume in 1996.[SEP]The 125 piece walk sequence was too small for optimal efficiency.
Entailment,"Porches and stoops, those symbols of a vibrant social life, stopped being used as gathering places for a rather practical reason--air conditioning.[SEP]People simply prefer to be comfortable inside rather than outdoors in the sweltering heat."
Contradiction,"Bars with views and live music include Sky Lounge in the Sheraton Hotel and Towers, Tsim Sha Tsui; and Cyrano in the Island Shangri-La in Pacific Place.[SEP]There is not much in the way of live entertainment. "
Neutral,oh thank God i've never been to Midland[SEP]Midland is a crap hole so I am glad that I have never been there. 
Contradiction,The pieces are unloaded and fed into sorting machines.[SEP]They were unloaded but not sorted
Contradiction,"For example, Bruce Barton's The Man Nobody Knows , a best seller in 1925-26, portrays Jesus as the ultimate businessman.[SEP] ""The Man Nobody Knows,"" by Bruce Barton, was never a best seller."
Entailment,He slowed.[SEP]He stopped moving so quickly.
Entailment,"There's only one thing for me to do.""[SEP]I only have one thing left to do."
Contradiction,That had been made by the Cadets (Constitutional Democrats) under Prince Lvov.[SEP]The Cadets made that under Prince Vlad.
Neutral,it's neat when you think about how she wrote it and stuff otherwise the lyrics are kind of[SEP]I think she wrote it when she was drunk one night. 
Neutral,"They look just as good as new."" They cut them carefully and ripped away the oilskin.[SEP]The oilskin would be good for several months of use."
Neutral,The rise of the British Empire in India had begun.[SEP]It started the rise of the British Empire in India in 1910.
Contradiction,"When Mr. Hastings and Mr. Lawrence came in yesterday evening, they found your mistress busy writing letters. [SEP]Last night no one saw your mistress."
Entailment,The man shifted slightly and cut the spear out of the air.[SEP]The man moved near a flying spear. 
Entailment,Then Shuman claims that Linux provides no graphical user interface.[SEP]They made accusations about the platform.
Neutral,"In research designs based on statistical inference, the criterion for establishing casuality is whether the findings are likely to have occurred by chance following appropriate comparisons to eliminate alternative interpretations.[SEP]Research designs may be based on statistical inference in different organizations. "
Entailment,"Under Deng Xiaoping, Beijing actively sought to cultivate a good bilateral relationship.[SEP]Beijing sought to create a good relationship."
Entailment,"The next morning they ate dry bread, two strips of lean meat, and two eggs fried in animal fat on a skillet of black scorched iron.[SEP]They ate breakfast that had been cooked in a cast iron pan."
Contradiction,"Both were run by editors (Paul Williams, Jann Wenner) who saw rock stars as modern poets and voices of their generation.[SEP]The editors who run them had no respect for rock stars."
Neutral,Buffet and a  la carte available.[SEP]It has a buffet for lunch and dinner.
Contradiction,"We're going to try something different this morning, said Jon.[SEP]Jon thought everything should stay the way it was."
Contradiction,"Information is the resource-extractive industry of the next century, and the concept of intellectual property --a term that dates back 150 years--comes up when individuals or companies assert a particular claim and embody it in the form of copyrights, trademarks, and patents.[SEP]Intellectual property is a term that was developed in the last decade."
Neutral,The category of qualifying teen-agers and women could include all recipients of welfare or other public assistance (including daughters of recipients) who are competent to give informed consent to the implant procedure.[SEP]Women who are on welfare qualify for the contraceptive implant procedure.
Entailment,yeah so it's easy to do i'm actually interested in getting one of those kind of my wife has been talking about this in the past couple of years one of those kind of campers that pop-up so it's about uh maybe eight foot square and but only about two feet tall and when you get to where you're going it raises up and there's tenting material[SEP]I want to get one of those campers. 
Neutral,"The event is the definition of a crowd pleaser, replete with appearances by the Rockettes, the Mormon Tabernacle Choir, and Santa Claus (the act isn't entirely without bite; there's also a very funny moment involving a heart attack).[SEP]If Santa Claus has a heart attack, the Rockettes will have to save Christmas."
Neutral,"The National Association of State Information Resource Executives (NASIRE) represents state chief information officers (CIO) and information resource executives who share a mission to shape national information technology policy through collaborative partnerships, information sharing, and knowledge transfer.[SEP]The NA SIRE does a lot of work with charities."
Contradiction,Clinton used a floor mop to clean up the dirt he had tracked onto the shiny floor of an elementary school.[SEP]Clinton tracked dirt onto the floor of a high school and left without cleaning it.
Entailment,Another White House murder mystery and a chance to bash the genre.[SEP]White House murder mystery has other works before this one.
Neutral,"The Report and Order, in large part, adopts the unanimous recommendations of the Hearing Aid Compatibility Negotiated Rulemaking Committee, an advisory committee established by the Federal Communications Commission in 1995.[SEP]The Federal Communications Commission has several Hearing Aid Committees."
Neutral,Adrin nodded.[SEP]Adrin agreed with what was said.
Contradiction,"Eh! Monsieur Lawrence, called Poirot. [SEP]Poirot did not call upon Monsieur Lawrence."
Neutral,"To see how The Bell Curve tries and fails to get around these inherent problems, see and .[SEP]The Bell Curve tries to get around these problems and fails in many different ways."
Contradiction,TEST ORGANISMS[SEP]Test Rocks
Contradiction,"aChange in personal saving depends on how much of the $4,000 IRA contribution represents new saving.[SEP]The IRA contributes nothing to saving"
Entailment,"Dublin has international restaurants galore, and the New Irish Cuisine is built upon fresh products of Ireland's seas, rivers, and farms.[SEP]Fresh products of Irelands seas, rivers, and farms are what New Irish Cuisine is built upon.  "
Contradiction,"At the least, he was hired in an attempt to influence administration China policy.[SEP]He was hired to influence the British economy."
Entailment,The experts point out that it is not age alone that determines a Chinese antique's value the dynasties of the past had their creative ups and downs.[SEP]Chinese antique's value change not always from age.
Entailment,"Beginning with his unsuccessful reconnoitring at Bournemouth, he passed on to his return to London, the buying of the car, the growing anxieties of Tuppence, the call upon Sir James, and the sensational occurrences of the previous night.[SEP]He had a lot of experiences going on. "
Entailment,"The Throne Room is one of a series of apartments built during the reign of Charles II, though it was originally designed as a guard room that screened entrants to the private chambers beyond.[SEP]Charles II was the reigninh monarch when the Throne Room was built."
Neutral,"On the northwestern Alpine frontier, a new state had appeared on the scene, destined to lead the movement to a united Italy.[SEP]The unite Italy movement was waiting for a leader. "
Contradiction,"The herds give a sense of proportion to the vast openness, just as the scattered farmhouses and characteristic drystone walls add reassuring warmth to even the loneliest valley.[SEP]The area is completely devoid of life."
Neutral,"The Standard , published a few days before Deng's death, covers similar territory.[SEP]The Standard covers similar territory about minorities."
Entailment,"All-inclusive packages and large resort hotels offer restaurants, sporting activities, entertainment, wide-screen sports channels in the bars, shopping, and a guaranteed suntan.[SEP]You can get an all-inclusive package."
Entailment,"The increased investment has contributed to higher GDP growth in recent years, and the stronger economy should help in servicing the debt owed to foreigners.[SEP]Higher GDP growth in recent years has been contributed to increased investment."
Contradiction,"Lie back, and DON'T THINK.[SEP]Stand up and start thinking."
Entailment,"yep because it's when it's self propelled it's heavy yeah[SEP]it's heavy when it's self propelled, in case you were wondering"
Contradiction,"COST ASSIGNMENT - A process that identifies costs with activities, outputs, or other cost objects.[SEP]Cost assignment identifies nothing "
Neutral,"If you have the energy to climb the 387 steps to the top of the south tower, you will be rewarded with a stunning view over the city.[SEP]The south tower has the best view in the city."
Neutral,"I saw that a faint streak of daylight was showing through the curtains of the windows, and that the clock on the mantelpiece pointed to close upon five o'clock. [SEP]I saw that daylight was coming, and heard the people waking up."
Neutral,Figure 1:  Delivery Points to Stops[SEP]The only figure presented
Entailment,"They should have him be just a disembodied voice.[SEP]The entity should not be seen, only heard."
Contradiction,but i've lived up here all my life and i'm fifty eight years old so i i could[SEP]I have moved somewhere else in my life.
Contradiction,"The regime's response of ferocious repression plus numerous other ineptitudes led to a third revolution in 1848, with the Bonapartists, led by Napoleon's nephew, emerging triumphant.[SEP]There were only two revolutions."
Entailment,because we don't always read the newspaper sometimes it just sits around for a while and then we just chuck it[SEP]Sometimes we throw the newspaper away without reading it.
Contradiction,And you are wrong in condemning it. [SEP]I totally agree with your criticism.
Contradiction,"Always Sacrilegious, Always Coca-Cola.)[SEP]Always respectful of Jesus."
Contradiction,"After the recovery of Jerusalem in 1099, it took four hundred years of sieges and battles, treaties, betrayals, and yet more battles, before Christian kings and warlords succeeded in subduing the Moors.[SEP]The Moors were able to subdue the Christian kings after just a decade of war."
Neutral,"That drawer was an unlocked one, as he had pointed out, and he submitted that there was no evidence to prove that it was the prisoner who had concealed the poison there. [SEP]The prisoner unlocked the draw but it wasn't him that put the poison in there."
Contradiction,An Indian traveler described the prosperous Bujang Valley settlement as  the seat of all felicities.  [SEP]A traveler said the settlement was floundering.
Entailment,A spark of annoyance lit Lincoln's eyes; the smallest hint of Natalia's Russian fire.[SEP]You could clearly see the irritation in Lincoln's eyes.
Entailment,A silver revolver.[SEP]The revolver was silver.
Entailment,Pearl Jam detractors still can't stand singer Eddie  They say he's unbearably self-important and limits the group's appeal by refusing to sell out and make videos.[SEP]Some people are annoyed by the singer from Pearl Jam.
Neutral,It was deserved.[SEP]it was definitely deserved
Contradiction,The number of steps built down into the interior means that it is unsuitable for the infirm or those with heart problems.[SEP]The interior is well suited for those with cardiac issues.
Entailment,"You will learn later that the person who usually poured out Mrs. Inglethorp's medicine was always extremely careful not to shake the bottle, but to leave the sediment at the bottom of it undisturbed. [SEP]The person who poured Mrs. Inglethorp's medicine never shook the bottle so as to leave the sediment untouched. "
Entailment,because uh i know people who eat tons of that kind of stuff and they're just as healthy as can be[SEP]Some people who eat unhealthy foods are not sick.
Entailment,Click here for Finkelstein's explanation of why this logic is expedient.[SEP]Select this option for Finkelstein's understanding of why this logic is expedient.
Entailment,"We shouldn't have been here as soon as this even, if it hadn't been for the fact that there was a smart doctor on the spot, who gave us the tip through the Coroner. [SEP]There had a doctor who assisted us through the Coroner."
Contradiction,"Around 1500 b.c. , a massive volcanic eruption at Santorini destroyed not only Akrotiri under feet of ash and pumice but the whole Minoan civilization.[SEP]The volcano has lain dormant for the past four thousand years."
Contradiction,"Blessed with preternatural gregariousness, good humor, and a love of attention, he's been tireless about pursuing both celebrity and the cause of popular history ever since.[SEP]He never wanted any attention and kept to himself all the time."
Contradiction,"Placido Domingo's appearance on the package, compellingly photographed in costume as the ancient King of Crete, (Anthony Tommasini, the New York Times ) is the main selling point for this new recording of one of Mozart's more obscure operas--a fact that does not make critics happy.[SEP]Placido Domingo's appearance is absolutely atrocious and uncompelling. "
Neutral,"Legal Services Corp., 02-CV-3866, names as defendants the national Legal Services Corp., which distributes federal grants to providers, and Legal Services of New Jersey, which distributes state money.[SEP]Legal Services of New Jersey did nothing wrong."
Contradiction,uh right now we're actually having uh it's getting nice i mean it was in the high fifties today but three and a half weeks ago we had an ice storm[SEP]Temperatures are still below the freezing point outside.
Entailment,well it's a pleasure talking with you[SEP]It's lovely speaking with you. 
Neutral,Allow time in Thirasia to explore Santorini's smaller sibling islands.[SEP]Santorini has three smaller sibling islands.
Entailment,"On various episodes he is a member, along with Bluebeard and the Grim Reaper, of the Jury of the Damned; he takes part in a snake-bludgeoning (in a scandal exposed by a Bob Woodward book); his enemies list is used for dastardly purposes; even his dog Checkers is said to be bound for hell.[SEP]Various episodes depict that he is a member."
Neutral,"I feel that you probably underestimate the danger, and therefore warn you again that I can promise you no protection.[SEP]You underestimate the probability of us getting caught."
Contradiction,Intifada to the Present[SEP]Before Intifada.
Neutral,"The chart to which Reich refers was actually presented during Saxton's opening statement, hours before Reich testified, and did not look as Reich claims it did.[SEP]Reich refers to a chart that he understood well."
Neutral,"Initial demand for land in the New Town was not spectacular; in fact, incentives had to be offered to entice buyers.[SEP]Incentives included price cuts as well as tax reductions."
Neutral,"I thought working on Liddy's campaign would be better than working on Bob's.[SEP]Turns out, I was wrong and wished I had worked on Bob's campaign."
Neutral,"Happily, there's still a lot that hasn't yet been adulterated on the two islands'meaning that visitors also have a choice.[SEP]Visitors can hop between the two islands using the local ferry service."
Neutral,"For ideological free-marketeers (like myself), theories like Smith and Wright's can be intellectually jarring.[SEP]I can appreciate their position even if it does contradict my opinions. "
Entailment,"Even if auditors do not follow such other standards and methodologies, they may still serve as a useful source of guidance to auditors in planning their work under GAGAS.[SEP]Even should auditors choose not to comply with such standards, they are a helpful tool in guiding GAGAS work."
Contradiction,Postal Service could increase those same rates by at least 13.[SEP]The rates can not be changed by the Postal Service.
Neutral,I am not.[SEP]I am not new to this.
Entailment,Control activities occur at all levels and functions of the entity.[SEP]Control activities happen everywhere in the entity. 
Contradiction,"yeah well that's my uh i mean every time i've tried to go you know it's always there's there's always a league bowling[SEP]I go and bowl all the time, there are never leagues in the way."
Contradiction,"Shoot only the ones that face us, Jon had told Adrin.[SEP]Shoot the ones that face us, Adrin told Jon"
Neutral,They are all quotations from the Old Testament Book of Aunt Ruth.[SEP]The Old Testament was read to the children in the church.
Neutral,"New Madeirans traded sugar, the era's dominant luxury item, with Britain and Flanders, and they proved skillful in the art of winemaking.[SEP]Their wine was famous even in Italy."
Contradiction,And these are tough times for reviewers in general.[SEP]Times have never been better for reviewers.
Entailment,The credibility of the United States working with its European partners in NATO is on the line.[SEP]European members of NATO might consider the US's efforts to be less credible.
Contradiction,"The judge gave vent to a faint murmur of disapprobation, and the prisoner in the dock leant forward angrily. [SEP]The prisoner in the dock remained still and expressionless."
Neutral,"5) The Democrats are reaping what they sowed (after torturing Robert Bork, John Tower, and Clarence Thomas).[SEP]Democrats are replacing many Republicans because they were always very forceful in their approach."
Entailment,Are you sure?[SEP]Have you thought it through?
Contradiction,"There is a roller coaster up there as well, but experienced riders consider it too slow and uneventful despite the altitude.[SEP]Experienced riders think that the roller coaster is too fast and scary."
Entailment,"After several years of private practice from 1982-90, he became the judge of Decatur County Court for a year.[SEP]He was Decatur County's Court judge for one year."
Contradiction,"Local boy Gates wisely built his 45,000-square-foot castle in suburban Seattle.[SEP]Gates tore down his house because he is not from the Seattle area."
Entailment,i don't understand that i thought that he was always a good player[SEP]I always considered him to be a good player.
Entailment,So he clearly found a way to project a bandwagon of strength without putting U.S. troops on the line.[SEP]He found a way to portray strength without putting troops in harms way.
Neutral,just look what we did to Iraq[SEP]Iraq was something that shouldn't have happened
Entailment,Classic Castilian restaurant.[SEP]The restaurant is based off a classic Castilian style.
Neutral,well the difficulty is is if you look in the Old Testament and and the numbers of places that uh the Lord went out and just simply struck down and that was part of the problem when they went into the Promised Land that they that they uh they didn't destroy everybody and that that's[SEP]The Lord struck down all the places he went to. 
Neutral,[Requires free registration.[SEP]Registration is only one of the requirements. 
Neutral,I guess he thought you'd turned up your toes.[SEP]He made a grave mistake by thinking incorrectly.
Contradiction,"GQ editor Art Cooper reportedly received two $1-million loans, one for a Manhattan apartment, the other for a Connecticut farm.[SEP]Art Cooper used $100,000 of his own money to buy his Connecticut farm outright."
Contradiction,they just didn't watch him on TV[SEP]They watched him on TV all the time. 
Contradiction,"The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.[SEP]The Black River is said to be the shortest in Jamaica."
Contradiction,She had the pathetic aggression of a wife or mother--to Bunt there was no difference.[SEP]Bunt was raised motherless in an orphanage.
Neutral,"Blessed with preternatural gregariousness, good humor, and a love of attention, he's been tireless about pursuing both celebrity and the cause of popular history ever since.[SEP]He worked very hard to be the top-grossing star in the box office."
Contradiction,British action wouldn't have mattered.[SEP]British action would have made a big difference.
Entailment,Tuppence seized the bell and Jane the knocker.[SEP]Tuppence and Jane were by the door.
Entailment,"The Joint Venture which has so amply justified itself by success!"" It was drunk with acclamation.[SEP]The Joint Venture had justified itself by success."
Contradiction,oh for heaven sakes for the drugs yeah uh-huh[SEP]Drugs aren't a factor.
Entailment,"83 At that point, Poirot nudged me gently, indicating two men who were sitting together near the door. [SEP]There were two men sitting near the door."
Entailment,The guidelines do not apply to inpatient hospital services and hospice services and will be used by Medicare fiscal intermediaries to determine the maximum allowable costs of the therapy services.[SEP]When it comes to therapy services the policies and procedures are not relevant.
Contradiction,The credibility of the United States working with its European partners in NATO is on the line.[SEP]The United States currently enjoys high favorability among its European allies who trust it completely.
Neutral,and for regular readers who are a bit confused about our schedule (and who can blame them?)[SEP]who can blame who is confused about our schedule? They are readers but also occasional visitors.
Neutral,The sacred is not mysterious to her.[SEP]The woman is very religious.
Entailment,IDAs are special in that low-income savers receive matching funds from federal and state governments as well as private sector organizations as an incentive to save.[SEP] IDAs are special in that low-income savers receive matching funds from federal and state governments.
Entailment,"The central features of the Results Act-strategic planning, performance measurement, and public reporting and accountability-can serve as powerful tools to help change the basic culture of government.[SEP]The Results Act has strategic planning as a central feature. "
Neutral,"But you would not trust me.""[SEP]It is understandable because I have broken your trust numerous times. "
Neutral,"But by one measure, it seems to have been static.[SEP]They were expecting it to be less stable."
Neutral,"Hey, no problem, a fine policy.[SEP]No trouble, the best policy."
Contradiction,"The mansions have been downgraded to consulates since the capital was transferred to Ankara in 1923, and modern shops and restaurants have sprung up.[SEP]The city of Ankara has always been the capital of the nation."
Contradiction,"Well aware of the island's burgeoning wealth and repository of supplies, the French pirate Bertrand de Montluc sailed into Funchal harbor with his 11-galleon armada and 1,300 men.[SEP]The pirate Bertrand de Montluc avoided the wealthy island owing to its heavily armed garrison."
Neutral,"She gave the girl clothes and gifts and took her to her Connecticut estate for weekend pony rides, according to the Star . How was I supposed to compete with that?[SEP]She gave the girl clothes, gifts and pony rides on really nice ponies. That's hard to compete with."
Neutral,uh plastic is just too easy i mean that's the that's the whole problem with it um have[SEP]I am addicted to shopping online with my plastic credit card.
Contradiction,GAO's Web site (www.gao.gov) contains abstracts and full-text files ofcurrent reports and testimony and an expanding archive of older products.[SEP]The GAO has received many complaints due to lack of a website. 
Contradiction,yeah because i was saying to him i said i'm not that heavy i'm not heavy you know maybe ten to fifteen pounds like any other human being[SEP]i told him i've gained a lot of weight
Neutral,"Robust  came in third among words and phrases submitted (220 citations in the CR ), and unlike the previous two, it seems to be a genuinely new cliche; at any rate, Chatterbox hadn't previously been aware of its overuse.[SEP]Chatterbox was surprised by all of the phrases and words that were submitted."
Neutral,"wow who can afford that  my God i can't afford to miss a day let alone six[SEP]It's amazing that some people can afford to miss days from work, whereas I can't even afford to miss one."
Contradiction,The average length of a rural route is 55 miles.[SEP]100 miles is the average for a rural route.
Entailment,"It's an interesting account of the violent history of modern Israel, and ends in the Scafeld Room where nine Jews were executed.[SEP]The execution of nine Jews was an important turning point in modern Israel's history."
Contradiction,"Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.[SEP]Kids today are not bundles of joy, and are symbols of failure. "
Entailment,"Sun Ra's spaceships did not come, as it were, out of nowhere.[SEP]The spaceships did not come out of nowhere."
Entailment,"FEC Chairman Scott Thomas, a Democrat who was also at the conference, noted that the Federal Election Campaign Act of 1971 outlined three principles that need to be preserved on the  1) disclosure of how money is raised and spent to influence elections; 2) limits on the amount that any one person can contribute to a campaign; and 3) restrictions on independent spending by corporations and unions.[SEP]Scott Thomas was the FEC Chairman."
Contradiction,"At the time of publication, this document, along with other publications pertaining to information security, was available on NIST's Computer Security Resource Clearinghouse internet page at //csrc.nist.gov/publications.html.[SEP]The document as well as all security information was kept private."
Neutral,"aChange in personal saving depends on how much of the $4,000 IRA contribution represents new saving.[SEP]Personal savings need to be set by the IRA"
Entailment,"Well aware of the island's burgeoning wealth and repository of supplies, the French pirate Bertrand de Montluc sailed into Funchal harbor with his 11-galleon armada and 1,300 men.[SEP]Bertrand de Montluc arrived at the island with a great force of men."
Contradiction,"There are no shares of a stock that might someday come back, just piles of options as worthless as those shares of Cook's American Business Alliance.[SEP] Cook's American Business Alliance caused shares of stock to come back."
Entailment,"The Praya, the promenade in front of the ferry pier, is a good place to observe the many junks and fishing boats in the harbor.[SEP]The harbor can be seen from The Praya."
Entailment,"I jumped, coat tails flapping.[SEP]I jumped while wearing a coat."
Neutral,I put it to you that you did do so?[SEP]I am guessing that you did stay at the hotel?
